
Standard,Family,Product_Group,Voltage_kV,Current_A,Base_Code,Test_Point,Cable_Range_Code,Cable_OD_Min_mm,Cable_OD_Max_mm,Conductor_Code,Concentric_AWG,Concentric_mm2,Compact_AWG,Compact_mm2,Connector_Type,Fuse_Manufacturer,Final_Product_Code
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,B,16.26,22.99,07,2/0,70,3/0,,Bi-metal,,15-LE200TB07B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,B,16.26,22.99,08,3/0,,4/0,95,Copper,,15-LE200TB08C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,B,16.26,22.99,08,3/0,,4/0,95,Bi-metal,,15-LE200TB08B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,B,16.26,22.99,09,4/0,95,250,120,Copper,,15-LE200TB09C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,B,16.26,22.99,09,4/0,95,250,120,Bi-metal,,15-LE200TB09B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,B,16.26,22.99,10,250,120,300,,Copper,,15-LE200TB10C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,B,16.26,22.99,10,250,120,300,,Bi-metal,,15-LE200TB10B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,C,21.08,26.92,01,#6,,#4,,Copper,,15-LE200TC01C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,C,21.08,26.92,01,#6,,#4,,Bi-metal,,15-LE200TC01B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,C,21.08,26.92,02,#4,,#3,25,Copper,,15-LE200TC02C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,C,21.08,26.92,02,#4,,#3,25,Bi-metal,,15-LE200TC02B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,C,21.08,26.92,03,#3,25,#2,35,Copper,,15-LE200TC03C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,C,21.08,26.92,03,#3,25,#2,35,Bi-metal,,15-LE200TC03B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,C,21.08,26.92,04,#2,35,#1,,Copper,,15-LE200TC04C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,C,21.08,26.92,04,#2,35,#1,,Bi-metal,,15-LE200TC04B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,C,21.08,26.92,05,#1,,1/0,50,Copper,,15-LE200TC05C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,C,21.08,26.92,05,#1,,1/0,50,Bi-metal,,15-LE200TC05B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,C,21.08,26.92,06,1/0,50,2/0,70,Copper,,15-LE200TC06C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,C,21.08,26.92,06,1/0,50,2/0,70,Bi-metal,,15-LE200TC06B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,C,21.08,26.92,07,2/0,70,3/0,,Copper,,15-LE200TC07C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,C,21.08,26.92,07,2/0,70,3/0,,Bi-metal,,15-LE200TC07B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,C,21.08,26.92,08,3/0,,4/0,95,Copper,,15-LE200TC08C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,C,21.08,26.92,08,3/0,,4/0,95,Bi-metal,,15-LE200TC08B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,C,21.08,26.92,09,4/0,95,250,120,Copper,,15-LE200TC09C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,C,21.08,26.92,09,4/0,95,250,120,Bi-metal,,15-LE200TC09B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,C,21.08,26.92,10,250,120,300,,Copper,,15-LE200TC10C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,C,21.08,26.92,10,250,120,300,,Bi-metal,,15-LE200TC10B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,D,23.62,30.99,01,#6,,#4,,Copper,,15-LE200TD01C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,D,23.62,30.99,01,#6,,#4,,Bi-metal,,15-LE200TD01B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,D,23.62,30.99,02,#4,,#3,25,Copper,,15-LE200TD02C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,D,23.62,30.99,02,#4,,#3,25,Bi-metal,,15-LE200TD02B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,D,23.62,30.99,03,#3,25,#2,35,Copper,,15-LE200TD03C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,D,23.62,30.99,03,#3,25,#2,35,Bi-metal,,15-LE200TD03B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,D,23.62,30.99,04,#2,35,#1,,Copper,,15-LE200TD04C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,D,23.62,30.99,04,#2,35,#1,,Bi-metal,,15-LE200TD04B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,D,23.62,30.99,05,#1,,1/0,50,Copper,,15-LE200TD05C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,D,23.62,30.99,05,#1,,1/0,50,Bi-metal,,15-LE200TD05B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,D,23.62,30.99,06,1/0,50,2/0,70,Copper,,15-LE200TD06C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,D,23.62,30.99,06,1/0,50,2/0,70,Bi-metal,,15-LE200TD06B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,D,23.62,30.99,07,2/0,70,3/0,,Copper,,15-LE200TD07C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,D,23.62,30.99,07,2/0,70,3/0,,Bi-metal,,15-LE200TD07B
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,D,23.62,30.99,08,3/0,,4/0,95,Copper,,15-LE200TD08C
IEEE/ANSI,Cable Accessories,Loadbreak Elbow,15,200,15-LE200,Capacitive,D,23.62,30.99,08,3/0,,4/0,95,Bi-metal,,15-LE200TD08B
